Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Alfagift_Login,,,,21-01-2025 22:14:43,21-01-2025 22:22:18,7m - 35.633s,FAILED
,,,,,,,
Test Cases/Login (Negative)/Login_when already logged in at another device,,,,21-01-2025 22:14:43,21-01-2025 22:15:18,34.742s,PASSED
"startApplication(""D:/Downloads/base.apk"", false)",,,,21-01-2025 22:14:43,21-01-2025 22:15:04,20.951s,PASSED
"tap(findTestObject(""Object Repository/button/android.widget.TextView - MASUK""), 0)",,,,21-01-2025 22:15:04,21-01-2025 22:15:06,1.794s,PASSED
"setText(findTestObject(""Object Repository/fields/android.widget.EditText - Nomor HPNo. kartu member""), ""082121212041"", 0)",,,,21-01-2025 22:15:06,21-01-2025 22:15:10,3.881s,PASSED
"setText(findTestObject(""Object Repository/fields/android.widget.EditText - Password""), ""Lalauqoke123"", 0)",,,,21-01-2025 22:15:10,21-01-2025 22:15:13,2.861s,PASSED
hideKeyboard(),,,,21-01-2025 22:15:13,21-01-2025 22:15:15,2.104s,PASSED
"tap(findTestObject(""Object Repository/button/android.widget.TextView - Selanjutnya""), 0)",,,,21-01-2025 22:15:15,21-01-2025 22:15:16,0.983s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/error_msg/android.widget.TextView - Login Gagal""), 0)",,,,21-01-2025 22:15:16,21-01-2025 22:15:17,0.971s,PASSED
closeApplication(),,,,21-01-2025 22:15:17,21-01-2025 22:15:18,0.902s,PASSED
,,,,,,,
Test Cases/Login (Negative)/Login_when field Nomor HP-No Kartu Member is empty,,,,21-01-2025 22:15:18,21-01-2025 22:15:50,31.915s,PASSED
"startApplication(""D:/Downloads/base.apk"", false)",,,,21-01-2025 22:15:18,21-01-2025 22:15:37,18.801s,PASSED
"tap(findTestObject(""Object Repository/button/android.widget.TextView - MASUK""), 0)",,,,21-01-2025 22:15:37,21-01-2025 22:15:39,2.202s,PASSED
"setText(findTestObject(""Object Repository/fields/android.widget.EditText - Nomor HPNo. kartu member""), """", 0)",,,,21-01-2025 22:15:39,21-01-2025 22:15:43,3.760s,PASSED
"setText(findTestObject(""Object Repository/fields/android.widget.EditText - Password""), ""Testla123"", 0)",,,,21-01-2025 22:15:43,21-01-2025 22:15:45,2.850s,PASSED
hideKeyboard(),,,,21-01-2025 22:15:45,21-01-2025 22:15:47,1.655s,PASSED
"tap(findTestObject(""Object Repository/button/android.widget.TextView - Selanjutnya""), 0)",,,,21-01-2025 22:15:47,21-01-2025 22:15:48,0.950s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/error_msg/android.widget.TextView - Mohon isi Nomor HPNo. kartu member""), 0)",,,,21-01-2025 22:15:48,21-01-2025 22:15:49,0.703s,PASSED
closeApplication(),,,,21-01-2025 22:15:49,21-01-2025 22:15:50,0.830s,PASSED
,,,,,,,
Test Cases/Login (Negative)/Login_when field Password is empty,,,,21-01-2025 22:15:50,21-01-2025 22:16:16,26.186s,PASSED
"startApplication(""D:/Downloads/base.apk"", false)",,,,21-01-2025 22:15:50,21-01-2025 22:16:04,13.854s,PASSED
"tap(findTestObject(""Object Repository/button/android.widget.TextView - MASUK""), 0)",,,,21-01-2025 22:16:04,21-01-2025 22:16:06,2.272s,PASSED
"setText(findTestObject(""Object Repository/fields/android.widget.EditText - Nomor HPNo. kartu member""), ""9990015830750835"", 0)",,,,21-01-2025 22:16:06,21-01-2025 22:16:10,3.673s,PASSED
"setText(findTestObject(""Object Repository/fields/android.widget.EditText - Password""), """", 0)",,,,21-01-2025 22:16:10,21-01-2025 22:16:12,2.194s,PASSED
hideKeyboard(),,,,21-01-2025 22:16:12,21-01-2025 22:16:13,1.696s,PASSED
"tap(findTestObject(""Object Repository/button/android.widget.TextView - Selanjutnya""), 0)",,,,21-01-2025 22:16:13,21-01-2025 22:16:14,0.938s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/error_msg/android.widget.TextView - Mohon isi Password""), 0)",,,,21-01-2025 22:16:14,21-01-2025 22:16:15,0.695s,PASSED
closeApplication(),,,,21-01-2025 22:16:15,21-01-2025 22:16:16,0.795s,PASSED
,,,,,,,
Test Cases/Login (Negative)/Login_when input No Kartu Member less than 16 digit,,,,21-01-2025 22:16:16,21-01-2025 22:16:46,30.158s,PASSED
"startApplication(""D:/Downloads/base.apk"", false)",,,,21-01-2025 22:16:16,21-01-2025 22:16:34,17.884s,PASSED
"tap(findTestObject(""Object Repository/button/android.widget.TextView - MASUK""), 0)",,,,21-01-2025 22:16:34,21-01-2025 22:16:36,2.227s,PASSED
"setText(findTestObject(""Object Repository/fields/android.widget.EditText - Nomor HPNo. kartu member""), ""999827372"", 0)",,,,21-01-2025 22:16:36,21-01-2025 22:16:40,3.754s,PASSED
"setText(findTestObject(""Object Repository/fields/android.widget.EditText - Password""), ""Testla123"", 0)",,,,21-01-2025 22:16:40,21-01-2025 22:16:43,2.843s,PASSED
